date;conflict;similarity;knowledge;power;status;support;identity;romance;trust;fun;conflict_sd;similarity_sd;knowledge_sd;power_sd;status_sd;support_sd;identity_sd;romance_sd;trust_sd;fun_sd;conflict_n_posts;similarity_n_posts;knowledge_n_posts;power_n_posts;status_n_posts;support_n_posts;identity_n_posts;romance_n_posts;trust_n_posts;fun_n_posts;event_type;period_type;event_id;closing_price
2022-01-18;0.09294830759555162;-0.5391198803877444;-0.2613004423838401;-0.09137498295374095;-0.10341002581833711;0.3941269010799802;-0.1890638200247922;0.18420145584545014;-0.4032382825721768;-0.054934435730710045;-1.6986370621582911;-0.2632068490366471;-0.42070506062382523;-1.4784106804049797;-0.6314579634542541;-1.1050548037268626;-1.095601116858455;-0.1522301696827611;-0.4732723573995429;-0.18032468794862827;23;11;280;12;14;42;14;0;71;24;negative;before;6;42375.63284306859
2022-01-19;-0.1505913060785914;0.02633172427646449;-0.6268181977769648;0.21301963910780844;0.08919518461004794;0.18865668277619446;-0.3310451726361774;-0.16194252360766317;-0.15218021033572235;0.6773920597053432;-1.382372700321518;1.2631270310232519;-0.9473447526742416;-0.4077651710978602;-1.0149666563662727;-0.6655499216838647;-1.225404252649881;-0.026596702048616666;-0.8396213867387027;0.6611527916140265;16;13;265;12;15;48;20;2;70;24;negative;during;6;41744.3298424627
2022-01-20;-0.19118124169094908;0.5917833289406725;-0.19276586324763031;0.5935129166847439;0.23364909243133625;0.6583028960419897;-0.8043163480074612;0.18420145584545056;0.1741952835716696;0.6316216537405893;-1.4223363727214293;1.893348166470448;-1.5826680024565674;-0.36582855303732587;-0.8774794464473921;-0.22266462575955345;0.2897384174585269;0.6247302935403741;-1.093685907711452;0.5650970625025418;15;21;251;10;22;45;20;1;69;17;negative;during;6;40680.41991360026
2022-01-21;0.7017973417809099;0.5482870516588115;-0.5697060484967859;0.365216950138582;0.281800395038432;0.42347978940909264;-1.1829332883044887;0.18420145584545056;0.12398366912437989;0.4943104358463295;0.0899723085727504;1.9020005555909258;-1.0531575463342577;-0.12550500093612732;-0.7942937694181416;-0.5114348590159847;0.012472427836832181;0.6247302935403741;-1.0105241336995705;0.6725174009011697;23;18;259;11;21;38;15;0;53;26;negative;during;6;36457.318100136144
2022-01-22;0.1741281788202662;1.200731210886744;-0.4326368902243698;0.9740061942616809;0.9559186315377778;0.24736245943442042;-1.46689599352726;0.18420145584545056;-0.0015453669938473393;0.9520144954938612;0.4203393271356747;1.3784742078508567;-0.7715920953113817;0.33572070213842287;-0.49698203023905163;-0.33537822842056214;0.2651705587781142;0.6247302935403741;-1.1762865963823723;0.7597821826078167;6;20;133;11;8;16;9;0;28;20;negative;during;6;35030.25176759585
2022-01-23;0.6206174705561953;2.11415303380585;-0.4783266096485073;0.5174142611693571;1.0522212367519703;0.041892241130635804;-1.419568875990132;-0.5080865030607771;-0.37813247534853095;0.9062440895291092;0.5510794458398964;0.9195606225235642;-0.7755612537992185;0.971102457677013;-0.7112895809826503;-0.426581743764274;0.3452259717735593;0.559087425140834;-1.3427886014785102;0.803911887346875;10;18;134;8;11;28;1;2;32;19;negative;after;6;36276.80469436993
2022-01-24;0.8235671486179814;2.4621232520607483;-0.16992100353556158;1.2023021608078441;0.7633134211093946;-0.19293086550226235;-0.9936248181559764;-0.8542304825138909;-0.7547195837032146;1.2266369312823846;0.4324257362724476;0.690047017574358;-0.7522571482632988;1.0483852686259154;-0.4800159076316972;-0.4039390033763437;1.2835573474228588;0.5920798182247;-1.6477639186169395;0.253678983821943;37;21;234;9;23;46;14;0;53;22;negative;after;6;36654.329182687645
2022-01-25;1.148286633516839;2.679604638470059;-0.07854156468727597;1.2023021608078441;0.6188595132881054;-0.13422508884403753;-0.7569892304703331;-0.8542304825138909;-0.5789789331376957;1.3181777432118889;0.7109650826790292;0.29113965708640455;-0.7729553996881735;1.0483852686259154;-0.43813339629923437;-0.4303756535441117;1.3702709095516494;0.5920798182247;-1.71473594986519;0.19944382234629893;5;13;146;10;14;18;4;0;33;17;negative;after;6;36954.00201362759
2022-01-26;1.6353658608651267;1.3312200427323306;-0.07854156468727597;0.5174142611693571;0.6670108158952012;-0.2516366421604849;-0.3783722901733055;-0.508086503060777;-0.5789789331376957;1.0435553074233708;0.2719075058132356;1.1001484183627421;-0.7729553996881735;0.38608395681545715;-0.5083625139943694;-0.15691066120370648;1.7550931729597465;0.559087425140834;-1.71473594986519;-0.2944758524292082;27;34;261;6;17;41;21;0;55;23;negative;after;6;36852.12259458596
2022-01-27;2.2442148950504834;0.2873093879676367;-0.43263689022436624;0.21301963910780844;0.7151621185022969;-0.3690481954769334;0.7574785307177772;-1.2003744619670045;-0.6291905475849854;0.3112288119873175;0.5158941462959079;1.0491723915031963;-0.4802943916493013;0.3051732189369231;-0.4631728814806629;-0.5075128229557069;0.6323335729589653;-0.9189375443871429;-1.7914793023002678;-0.7331051733118149;20;29;278;19;16;37;29;0;54;24;negative;after;6;37138.23431595358
2022-01-28;1.5135960540280542;0.24381311068577483;-0.20418829310366468;0.28911829462319527;0.7633134211093946;-0.721282855426279;0.8521327657920352;-0.508086503060777;-0.4032382825721768;0.6773920597053432;0.12321806612291498;1.0598518515748412;-0.7937951945813007;0.22245037260535708;-0.4024265830977925;-0.5791199132717412;0.50321259344465;-0.576343308810162;-1.8788918277806717;-0.8811488163565403;62;46;534;22;36;80;40;0;120;56;positive;before;2;37784.33326406649
2022-01-29;1.2700564403539114;-0.27814221669657047;-0.1356537139674549;0.897907538746294;0.1854977898242395;-0.3103424188187086;1.1360954710148048;0.18420145584545056;-0.15218021033572235;0.5858512477758355;0.80483163127599;1.1483401904948087;-0.6447281754672421;1.8786798841746417;-1.0444984300370928;-0.23671381392399388;-0.2967750350687564;-0.4746235200397785;-1.1560198264678625;-1.0441071401223272;48;18;532;26;34;56;52;2;112;68;positive;before;2;38138.17856577545
2022-01-30;0.904747019842696;-0.6261124349514691;0.42404534897826823;1.811091404930943;-0.15156132842543196;-0.5158126371224944;1.467385293774704;0.18420145584545056;0.27461851246625296;0.35699921795206957;0.7884323384300779;0.48003265711406096;-0.09472326896147826;1.2373072406275074;-0.3299140084877148;-0.13986659090465237;-0.06868449122780453;-0.4746235200397785;-1.021586666193446;-0.561770317687408;70;24;474;24;46;104;52;4;124;44;positive;before;2;37917.60273361001
