,Date,Open,High,Low,Close,Volume,Market Cap
37,2022-08-12,1.46335195277e-09,1.47828013927e-09,1.44059486505e-09,1.47760116854e-09,385.43,0
38,2022-08-11,1.47554565864e-09,1.50285353724e-09,1.46057831337e-09,1.46334869807e-09,403.34,0
39,2022-08-10,1.462735906e-09,1.51111706968e-09,1.41464512065e-09,1.4755648546e-09,35.62,0
40,2022-08-09,1.46341009985e-09,1.47176021148e-09,1.40788059489e-09,1.46308929485e-09,137.99,0
41,2022-08-08,1.45826748767e-09,1.49985147029e-09,1.45318244804e-09,1.46291993714e-09,147.78,0
42,2022-08-07,1.43697865779e-09,1.46634117586e-09,1.40369782601e-09,1.45816833844e-09,595.33,0
43,2022-08-06,1.44462650468e-09,1.47424028748e-09,1.43556826615e-09,1.43691699753e-09,302.28,0
44,2022-08-05,1.42698724969e-09,1.46916469474e-09,1.41752522221e-09,1.44344369023e-09,120.21,0
45,2022-08-04,1.36245504963e-09,1.43334522129e-09,1.36161251794e-09,1.42654908823e-09,226.86,0
46,2022-08-03,1.28457959643e-09,1.39773121154e-09,1.28457959643e-09,1.36259203689e-09,241.06,0
47,2022-08-02,1.29504725646e-09,1.29971675683e-09,1.26296012256e-09,1.28457959643e-09,0.0,0
48,2022-08-01,1.30636708492e-09,1.33386128068e-09,1.26765817102e-09,1.29504725646e-09,1487.06,0
49,2022-07-31,1.31059642943e-09,1.35414831377e-09,1.29940331839e-09,1.30636708492e-09,4243.63,0
50,2022-07-30,1.33415756749e-09,1.36571998168e-09,1.29780480482e-09,1.31059644376e-09,9367.55,0
51,2022-07-29,1.26880528886e-09,1.37222605787e-09,1.25555058447e-09,1.33415756749e-09,1965.06,0
52,2022-07-28,1.22922190447e-09,1.28078923195e-09,1.19713669003e-09,1.26880528886e-09,1761.37,0
53,2022-07-27,1.13093711672e-09,1.22922190447e-09,1.1133594134e-09,1.22922190447e-09,1637.94,0
54,2022-07-26,1.10181357417e-09,1.13093711672e-09,1.08713215667e-09,1.13093711672e-09,1952.08,0
55,2022-07-25,1.19698918771e-09,1.19733904916e-09,1.1018146334e-09,1.1018210338e-09,2169.52,0
56,2022-07-24,1.17968275375e-09,1.23108013785e-09,1.16894126667e-09,1.19698918771e-09,2289.69,0
57,2022-07-23,1.19371447456e-09,1.23681803336e-09,1.15827469686e-09,1.17968275375e-09,1485.67,0
58,2022-07-22,1.20909504456e-09,1.24233570463e-09,1.1901045015e-09,1.19371447456e-09,1967.07,0
59,2022-07-21,1.18346725164e-09,1.21578711909e-09,1.14542104488e-09,1.20816428507e-09,987.69,0
60,2022-07-20,1.23694204828e-09,1.25155352252e-09,1.17253225034e-09,1.18346725164e-09,1186.0,0
61,2022-07-19,1.17643802663e-09,1.24856255571e-09,1.15367038912e-09,1.23694204828e-09,2046.64,0
62,2022-07-18,1.10750604766e-09,1.17968050284e-09,1.10750563375e-09,1.17643802663e-09,1015.5,0
63,2022-07-17,1.12737265107e-09,1.15783858547e-09,1.10627020097e-09,1.10750604766e-09,519.04,0
64,2022-07-16,1.06737485359e-09,1.13069237318e-09,1.04946125366e-09,1.12737265107e-09,685.29,0
65,2022-07-15,1.07202815312e-09,1.08632993443e-09,1.05851007199e-09,1.06737485359e-09,649.22,0
66,2022-07-14,1.0311148545e-09,1.08186725171e-09,1.0244243644e-09,1.07202815312e-09,1105.34,0
67,2022-07-13,9.9812303226e-10,1.04181427333e-09,9.748474041e-10,1.03111495037e-09,2406.61,0
68,2022-07-12,1.03527621081e-09,1.04068081556e-09,9.9812303226e-10,9.9812303226e-10,633.03,0
69,2022-07-11,1.07435210623e-09,1.07686858634e-09,1.03332816559e-09,1.03527621081e-09,760.1,0
70,2022-07-10,1.12718332759e-09,1.13279359801e-09,1.0566658242e-09,1.07435210623e-09,858.41,0
71,2022-07-09,1.12867770097e-09,1.13828706739e-09,1.11600390842e-09,1.12718332759e-09,1949.84,0
72,2022-07-08,1.13876191199e-09,1.1627775395e-09,1.09973494183e-09,1.12867770097e-09,4216.13,0
73,2022-07-07,1.13892322162e-09,1.16195257034e-09,1.11237816393e-09,1.13876191199e-09,2214.29,0
74,2022-07-06,1.09193142071e-09,1.14346883163e-09,1.08651691171e-09,1.13892322162e-09,1862.57,0
75,2022-07-05,1.10590767756e-09,1.1189975188e-09,1.05778259864e-09,1.09220951036e-09,1185.81,0
76,2022-07-04,1.04664012368e-09,1.10905638972e-09,1.01991075008e-09,1.10590767756e-09,855.74,0
77,2022-07-03,1.0326080232e-09,1.05416185042e-09,1.01690465278e-09,1.04664012368e-09,882.85,0
78,2022-07-02,1.0282226633e-09,1.04549468809e-09,1.0082444603e-09,1.0326080232e-09,1001.38,0
79,2022-07-01,1.03213561132e-09,1.06167065495e-09,1.01212856278e-09,1.0282226633e-09,429.19,0
80,2022-06-30,1.02660106141e-09,1.03861198194e-09,9.6437149665e-10,1.03213561132e-09,4084.78,0
81,2022-06-29,1.06909507881e-09,1.08455372311e-09,1.01179790159e-09,1.02660106141e-09,799.74,0
82,2022-06-28,1.10134617349e-09,1.13977270556e-09,1.06447857653e-09,1.06909507881e-09,539.73,0
83,2022-06-27,1.10209166686e-09,1.146065379e-09,1.08570768093e-09,1.10134617349e-09,1040.85,0
84,2022-06-26,1.13404251333e-09,1.68208832171e-09,1.10209166686e-09,1.10209166686e-09,1085.99,0
85,2022-06-25,1.13720615339e-09,1.32234358474e-09,1.09353954396e-09,1.13404251333e-09,2828.95,0
86,2022-06-24,1.09212792183e-09,1.16301920633e-09,1.081604952e-09,1.13720615339e-09,4411.02,0
87,2022-06-23,1.04091943308e-09,1.10422525825e-09,1.03763887467e-09,1.09212792183e-09,1721.83,0
88,2022-06-22,1.06175000928e-09,1.06702785948e-09,1.0168509169e-09,1.04091943308e-09,586.71,0
89,2022-06-21,1.03831260511e-09,1.10054677582e-09,1.03021849388e-09,1.06175000928e-09,2731.28,0
90,2022-06-20,1.03123731869e-09,1.04801291285e-09,9.7673800212e-10,1.03831260511e-09,1304.58,0
91,2022-06-19,9.3378737599e-10,1.03842716865e-09,9.1075740248e-10,1.03123731869e-09,2126.77,0
92,2022-06-18,1.04524007972e-09,1.06160919232e-09,8.7551673312e-10,9.3378737599e-10,1361.07,0
93,2022-06-17,1.01129144365e-09,1.07414301339e-09,1.00042407682e-09,1.04524007972e-09,3351.34,0
94,2022-06-16,1.12351049556e-09,1.14464036589e-09,1.0014425358e-09,1.01129747828e-09,2272.28,0
95,2022-06-15,1.08065170454e-09,1.12966387561e-09,9.6241436147e-10,1.12351049556e-09,1000.07,0
96,2022-06-14,1.07188835284e-09,1.10544055583e-09,9.8963242222e-10,1.08065170454e-09,3859.24,0
97,2022-06-13,1.26640651524e-09,1.26913874286e-09,1.05768237151e-09,1.07188835284e-09,7055.71,0
98,2022-06-12,1.36949445027e-09,1.38440930973e-09,1.25226706761e-09,1.26640651524e-09,4338.77,0
99,2022-06-11,1.42295530408e-09,1.44852837282e-09,1.31305612421e-09,1.36949439973e-09,21292.69,0
100,2022-06-10,1.50543628717e-09,1.52318844906e-09,1.39636790147e-09,1.42295530408e-09,7093.99,0
101,2022-06-09,1.52401810188e-09,1.54890650322e-09,1.49190291392e-09,1.50543628717e-09,6208.94,0
102,2022-06-08,1.47406803975e-09,1.53484624221e-09,1.44468130074e-09,1.52401181851e-09,7513.27,0
103,2022-06-07,1.56982511043e-09,1.57677887191e-09,1.39645582884e-09,1.47406803975e-09,6017.34,0
104,2022-06-06,1.59188789675e-09,1.67436428032e-09,1.55865738433e-09,1.56982583615e-09,5240.81,0
